nazwa;long;lat;ocena;ilosc_recenzji;adres
North Fish;16.985904100000003;51.1177402;4.3;18.0;CH Magnolia Park, Legnicka 58, 54-204 Wroc?w
Restauracja McDonald's;16.9848825;51.117913200000004;3.4;71.0;CH Magnolia Park, Legnicka 58, 54-204 Wroc?w
KFC;16.984992300000002;51.11786970000001;3.1;110.0;CH Magnolia Park, Legnicka 58, 54-204 Wroc?w
Petra Gyros;16.9873525;51.1225066;4.2;859.0;Legnicka 72, 54-206 Wroc?w
Grill Kaufland;16.9866766;51.122024100000004;4.0;22.0;Legnicka 62A, 50-001 Wroc?w
Belek Kebab;16.986012600000002;51.1227012;3.1;142.0;Ma?panewska 2, 54-212 Wroc?w
Namaste Nepal;16.9872802;51.123866299999996;4.0;114.0;Legnicka 55A, 54-203 Wroc?w
Pizzeria La Finezze;16.9946484;51.1247713;4.2;158.0;Jelenia 28, 54-242 Wroc?w
Pierogarnia Kuchnia Polska;16.995023100000004;51.125712799999995;4.6;11.0;Popowicka 26, 54-237 Wroc?w
Grillburger;16.9950511;51.1257907;4.1;467.0;Popowicka 26, 50-001 Wroc?w
Food Box Pizza&Pasta;16.9792078;51.12238189999999;4.4;38.0;04:00ska 11A, 54-210 Wroc?w
Bistro Bar Tymianek;16.9798581;51.124070700000004;4.6;18.0;04:00ska 5, 50-001 Wroc?w
LeSer;16.983388;51.1260889;4.4;145.0;Wejherowska 19a, 54-239 Wroc?w
Kozacka Chatka;16.9831507;51.1263469;4.3;150.0;Wejherowska 19a, 54-239 Wroc?w
Burgery z Pakamery;16.974849300000002;51.127378;4.8;4.0;Lotnicza 14, 54-155 Wroc?w
Pizzeria Bravo;16.974849300000002;51.127378;3.3;239.0;Szybowcowa 1, 54-130 Wroc?w
Bar Karmazyn;16.974243899999998;51.1266502;3.4;24.0;Horbaczewskiego 4/6, 50-001 Wroc?w
Bar Astra;16.9737824;51.1266801;2.8;4.0;Horbaczewskiego 4/6, 50-001 Wroc?w
Monster Cook;16.973520399999998;51.126825200000006;4.2;4.0;Horbaczewskiego 4/6, 50-001 Wroc?w
Pizza Hut Wroc?w Astra;16.9735023;51.1266365;2.4;7.0;Horbaczewskiego 4/6, 54-130 Wroc?w
Dobra Pizza Ristorante&Pizza;16.9700713;51.125977299999995;3.9;267.0;Bulwar Ikara 13-15 pasa?s?neczny, 54-130 Wroc?w
Telepizza - pizza Wroc?w;16.971142999999998;51.1256817;2.9;49.0;Horbaczewskiego 21a, 50-001 Wroc?w
Restauracja Orbita;16.9851693;51.13186629999999;3.5;16.0;Wejherowska 34, 54-239 Wroc?w
Lido. Pizzeria;16.9780155;51.13745;3.8;87.0;Dziadosza?? 48, 54-153 Wroc?w
PIZZAMOBILE;16.962194600000004;51.1305727;4.2;62.0;Bajana 1, 54-129 Wroc?w
Bar Kuchcik;16.9627109;51.1305404;4.4;12.0;Bajana 1/101, 50-001 Wroc?w
Madagaskar;16.9632425;51.130376299999995;4.5;147.0;Bajana 1, 54-130 Wroc?w
Dobra Karma;17.0315337;51.102540000000005;4.3;311.0;Ko?iuszki 23, 11-400 Wroc?w
