nazwa;adres;strona_internetowa;lat;long;ocena;ilosc_recenzji;highlights;accessibility;Offerings;Dining_options;Amenities;Atmosphere;Crowd;Payments;open_hours_monday;close_monay;tuesday;close_tue;wednesday;closed_wed;thursday;closed_thu;friday;closed_fri;saturday;closed_sat;sunday;closed_sun;czy_sieciowka
Bar ALFA;Strzegomska 55, 50-001 Wroc?w;https://www.facebook.com/baralfa.wro;51.1142037;"16.9900753	";3,9;27;NaN;NaN;NaN;NaN;NaN;Casual;Groups;NaN;08:30:00;16:00:00;08:30:00;16:00:00;08:30:00;16:00:00;08:30:00;16:00:00;08:30:00;16:00:00;08:30:00;17:00:00;08:30:00;17:00:00;0
Pizza Hut Wroc?w Magnolia;CH Magnolia Park, Legnicka 58, 54-204 Wroc?w;pizzahut.pl;51.1203968;"16.9893928	";3,6;172;NaN;Wheelchair accessible entrance;salad, Late-night food, Kids' menu, wine, beer;dinner, supper, dessert;do_karmienia, Good for kids, toilet;Cosy, Casual;Groups;debit card;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;1
Frankie's;CH Magnolia Park, Legnicka 58, 54-204 Wroc?w;frankies.pl;51.11995;"16.9870921	";4,4;7;NaN;Wheelchair accessible entrance;NaN;NaN;NaN;Cosy, Casual;NaN;NaN;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;1
La Pary?nka Nale?ikarnia;CH Magnolia Park, Legnicka 58, 54-204 Wroc?w;laparyzanka.com.pl;51.1196066;"16.9882919	";3,8;50;NaN;Wheelchair accessible entrance;NaN;NaN;Good for kids;Cosy, Casual;NaN;NaN;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;0
Owocowy Raj;Legnicka 58, 50-001 Wroc?w;magnoliapark.pl;51.1195211;"16.9867143	";2,8;8;NaN;Wheelchair accessible entrance;NaN;NaN;Good for kids;Casual;NaN;NaN;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;0
Mr Chilly;CH Magnolia Park, Legnicka 58, 54-204 Wroc?w;mrchilly.pl;51.1192768;"16.9869631	";3,1;28;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;0
Redberry;CH Magnolia Park, Legnicka 58, 54-204 Wroc?w;redberry.pl;51.1190482;"16.9865742	";5;3;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;1
Kuchnia Marche Magnolia;CH Magnolia Park, Legnicka 58, 54-204 Wroc?w;https://www.facebook.com/kuchnia.marche.magnolia/;51.1191015;"16.986832	";3,8;22;NaN;Wheelchair accessible entrance;salad, Late-night food, Kids' menu, eko, all you can eat, vegan;dinner, supper, dessert;do_karmienia, Good for kids;Casual;Family friendly, Groups;debit card;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;1
Vivian Restaurant - Magnolia;CH Magnolia Park, Legnicka 58, 54-204 Wroc?w;vivianrestaurant.pl;51.1191187;"16.9866808	";4,6;29;NaN;Wheelchair accessible entrance;wine, beer;NaN;Good for kids;Cosy, Casual;Groups;NaN;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;1
Vege Life;CH Magnolia Park, Legnicka 58, 54-204 Wroc?w;http://vege.life/pl/;51.1182988;"16.9863536	";3,7;20;NaN;Wheelchair accessible entrance;NaN;NaN;NaN;Cosy, Casual;NaN;NaN;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;1
